age,index,MaleBar,FemaleBar,MaleLine,FemaleLine
90+,19,342,1113,376.2,1224.3
85-89,18,386,878,424.6,965.8
80-84,17,424,644,466.4,708.4
75-79,16,323,388,355.3,426.8
70-74,15,229,218,251.9,239.8
65-69,14,163,94,179.3,103.4
60-64,13,168,76,184.8,83.6
55-59,12,175,73,192.5,80.3
50-54,11,193,96,212.3,105.6
45-49,10,209,86,229.9,94.6
40-44,9,224,96,246.4,105.6
35-39,8,259,73,284.9,80.3
30-34,7,230,48,253,52.8
25-29,6,226,37,248.6,40.7
20-24,5,157,41,172.7,45.1
15-19,4,88,25,96.8,27.5
10-14,3,27,7,29.7,7.7
5-9,2,16,7,17.6,7.7
1-4,1,24,20,26.4,22
<1,0,19,14,20.9,15.4